type,u,g,r,i,z,u-g,i-z
6,23.7181,23.4005,24.89578,24.47686,22.43744,0.3176,2.03942
6,26.38302,22.15424,20.80521,19.69265,19.01208,4.22878,0.68057
6,23.26665,22.3007,21.58218,21.46053,21.46624,0.96595,-0.00571
6,22.98844,22.72212,22.32806,21.86444,21.8476,0.26632,0.01684
6,25.55296,23.01865,21.21696,20.41084,19.88418,2.53431,0.52666
6,23.84229,23.78251,22.9813,23.04178,22.99193,0.05978,0.04985
6,24.64908,25.01062,25.05558,24.16778,20.6236,-0.36154,3.54418
6,25.86506,25.46239,22.97283,23.88957,22.85692,0.40267,1.03265
6,24.4159,23.47582,21.69682,20.19838,19.29025,0.94008,0.90813
6,23.96094,23.44186,21.76991,20.09063,19.10254,0.51908,0.98809
6,24.89634,23.78489,22.32868,20.66258,19.83549,1.11145,0.82709
6,24.22939,23.55519,23.71316,22.18123,22.68406,0.6742,-0.50283
6,25.789,25.33198,24.0031,22.23605,21.59737,0.45702,0.63868
6,24.79852,25.63708,23.31598,21.96776,21.44286,-0.83856,0.5249
6,24.74257,25.3353,25.06651,23.60198,20.71867,-0.59273,2.88331
6,24.55116,25.5313,23.96341,22.90019,20.85728,-0.98014,2.04291
6,23.9855,23.87865,23.62335,22.31587,22.20124,0.10685,0.11463
6,18.42805,17.38727,17.04191,16.91267,16.85749,1.04078,0.05518
6,20.33614,19.08869,18.56362,18.33382,18.24797,1.24745,0.08585
6,23.51573,23.82306,23.12313,22.17928,22.68012,-0.30733,-0.50084
6,21.74172,19.31174,17.96824,17.40515,17.09041,2.42998,0.31474
6,22.27167,24.84995,24.37324,23.70861,24.01324,-2.57828,-0.30463
6,24.04181,21.35116,19.9712,18.95225,18.43598,2.69065,0.51627
6,21.82576,21.28397,20.8896,20.72912,20.90458,0.54179,-0.17546
6,25.45805,23.6148,24.86054,24.78978,22.59829,1.84325,2.19149
6,22.28462,21.16575,20.62817,20.48284,20.6587,1.11887,-0.17586
6,22.40206,25.49129,25.33507,23.68516,22.11812,-3.08923,1.56704
6,22.23049,25.15523,25.18693,24.24863,23.01408,-2.92474,1.23455
6,22.5297,24.41646,25.32715,24.47637,22.54428,-1.88676,1.93209
6,22.41588,24.30917,25.35278,25.14079,22.48989,-1.89329,2.6509
6,22.27636,24.16268,24.28591,23.03763,23.1128,-1.88632,-0.07517
6,24.73698,23.26349,24.54956,23.07436,22.76939,1.47349,0.30497
6,24.01288,23.09602,23.43681,22.6143,21.86368,0.91686,0.75062
6,24.87046,22.39436,21.00554,19.3401,18.40456,2.4761,0.93554
6,24.88398,24.57702,24.24693,22.42303,20.71836,0.30696,1.70467
6,23.53886,22.76558,22.7465,22.15189,22.68223,0.77328,-0.53034
6,24.66731,23.17874,23.29911,22.73182,22.85635,1.48857,-0.12453
6,23.16999,22.87628,22.96284,22.91564,22.37009,0.29371,0.54555
6,24.46859,23.19708,22.70522,22.34751,22.65004,1.27151,-0.30253
6,22.77775,21.60499,20.17646,19.17191,18.58506,1.17276,0.58685
6,24.50018,25.34248,24.49754,22.47793,21.86553,-0.8423,0.6124
6,22.7588,22.53793,22.23095,21.84859,22.00861,0.22087,-0.16002
6,23.63107,22.77673,22.10439,22.28573,21.93687,0.85434,0.34886
6,24.96493,21.68105,20.75835,20.39447,19.99985,3.28388,0.39462
6,24.18347,22.37177,20.83335,19.08053,18.13165,1.8117,0.94888
6,24.59305,22.13846,21.86316,21.59326,21.31231,2.45459,0.28095
6,23.28545,23.27608,23.10543,22.98913,21.67504,0.00937,1.31409
6,23.20716,23.33585,22.79298,22.99933,21.91162,-0.12869,1.08771
6,25.19596,23.924,22.4028,20.49167,19.22745,1.27196,1.26422
6,23.71618,24.65823,25.25031,21.78531,22.18803,-0.94205,-0.40272
6,25.27568,24.18323,23.35012,22.53896,22.32844,1.09245,0.21052
6,25.3849,25.04702,24.95949,23.84814,20.94351,0.33788,2.90463
6,24.68592,25.42672,24.35093,23.68536,20.52011,-0.7408,3.16525
6,24.5828,24.7083,25.30255,23.42847,20.46064,-0.1255,2.96783
6,16.92327,15.40422,14.86191,14.68311,14.62075,1.51905,0.06236
6,23.50606,23.71043,22.06554,20.5441,19.66602,-0.20437,0.87808
6,25.17432,24.4448,23.35696,21.20432,22.64925,0.72952,-1.44493
6,23.21766,23.00911,22.20319,21.66799,22.03426,0.20855,-0.36627
6,23.59752,23.7924,23.18321,22.38143,21.43146,-0.19488,0.94997
6,23.95187,25.77133,25.11273,22.28063,23.53304,-1.81946,-1.25241
6,24.71393,25.22655,24.10056,22.92486,21.30662,-0.51262,1.61824
6,23.70413,25.12924,22.88706,22.94438,23.45118,-1.42511,-0.5068
6,15.04218,15.0394,12.0398,11.91176,13.0505,0.00278,-1.13874
6,21.22365,20.07858,19.80143,19.6102,20.10497,1.14507,-0.49477
6,24.98474,23.777,23.77748,22.01097,22.63278,1.20774,-0.62181
6,24.97002,23.07231,22.80694,21.54225,22.49473,1.89771,-0.95248
6,25.39999,25.83519,23.8717,22.46225,23.07549,-0.4352,-0.61324
6,23.98889,25.16373,25.50259,23.3481,23.26529,-1.17484,0.08281
6,17.23343,15.27113,14.5427,14.30284,14.19232,1.9623,0.11052
6,25.34594,22.57869,21.03533,19.4418,18.61639,2.76725,0.82541
6,25.86657,23.36728,21.9625,21.63078,22.81044,2.49929,-1.17966
6,18.98168,17.19109,16.48195,16.21761,16.07897,1.79059,0.13864
6,15.0967,12.60958,12.0083,11.86659,12.68329,2.48712,-0.8167
6,23.66709,24.71842,22.82889,22.98627,21.88884,-1.05133,1.09743
6,22.94004,21.69124,21.6063,21.18967,22.32527,1.2488,-1.1356
6,21.2113,18.85686,17.5074,16.78711,16.37636,2.35444,0.41075
6,22.80988,20.7681,19.31394,18.51375,17.98585,2.04178,0.5279
6,22.25411,24.81341,25.50123,24.43404,23.21848,-2.5593,1.21556
6,22.53209,25.33744,24.40228,24.47342,22.57259,-2.80535,1.90083
6,23.23728,24.94864,25.02465,25.18899,23.2596,-1.71136,1.92939
6,22.02993,25.13581,24.61489,23.88195,21.52865,-3.10588,2.3533
6,22.36374,24.47781,24.53535,23.30781,22.31969,-2.11407,0.98812
6,22.30855,24.85875,24.41581,23.89998,23.43703,-2.5502,0.46295
6,22.6383,25.13694,25.23984,25.18625,23.20584,-2.49864,1.98041
6,22.52334,24.95386,25.54953,24.96778,22.58207,-2.43052,2.38571
6,21.86048,26.13139,24.91766,25.41702,22.67969,-4.27091,2.73733
6,22.26479,25.38155,24.52901,23.27538,22.90162,-3.11676,0.37376
6,21.74777,20.67937,20.44033,20.26154,20.34049,1.0684,-0.07895
6,22.2148,20.94939,20.21272,19.90276,19.68575,1.26541,0.21701
6,23.65389,25.01409,23.06576,22.26511,22.1722,-1.3602,0.09291
6,22.67819,21.12085,20.26079,20.09457,19.86827,1.55734,0.2263
6,25.33476,23.28691,23.31745,22.90159,22.94576,2.04785,-0.04417
6,22.72361,21.64479,21.23248,21.04808,20.92516,1.07882,0.12292
6,22.93277,21.6808,21.44245,21.17455,21.93397,1.25197,-0.75942
6,24.11308,23.10876,23.93334,23.11815,22.87365,1.00432,0.2445
6,25.2803,23.63077,22.99905,23.94683,22.05514,1.64953,1.89169
6,25.94026,23.49623,24.5144,24.56752,22.85217,2.44403,1.71535
6,24.45209,23.40644,23.3957,22.76119,22.90108,1.04565,-0.13989
6,25.92148,24.29235,22.01637,21.44828,21.0936,1.62913,0.35468
6,25.39456,23.49023,22.70478,22.39301,22.18744,1.90433,0.20557
6,22.86323,23.85976,22.72511,23.14314,21.91744,-0.99653,1.2257
6,24.50151,24.95728,25.1234,24.73686,20.85858,-0.45577,3.87828
6,23.63715,23.29916,22.80312,22.50564,23.15017,0.33799,-0.64453
6,24.7129,24.24352,23.09931,22.26037,21.75901,0.46938,0.50136
6,24.23058,23.86872,23.37127,22.43904,22.27497,0.36186,0.16407
6,24.7571,25.08302,24.91628,23.8302,20.57611,-0.32592,3.25409
6,22.50078,20.13289,18.67698,17.0467,16.11432,2.36789,0.93238
6,24.28822,23.63272,22.82855,23.20157,22.48346,0.6555,0.71811
